price,repair,year_built_empty,house_age,closest_subway,dist_to_subway,sg,lat,lon,subway_dist_to_center,h3,agent_offers,subway_offers,address_offers,rooms,footage,floor,max_floor,first_floor,last_floor,AO,hm
7300000,3,0,58,81,644,0.0,55.701385,37.75604000000001,10612,8611aa6a7ffffff,5,21,1.0,1,32.1,2,9,0,0,UVAO,block
7700000,2,0,57,81,281,0.0,55.707987,37.7640815,10612,8611aa6a7ffffff,1,15,1.0,2,45.9,2,5,0,0,UVAO,panel
8600000,2,0,56,81,836,0.0,55.70985,37.774166,10612,8611aa6a7ffffff,1,18,1.0,2,44.5,4,5,0,0,UVAO,panel
8000000,1,0,55,81,676,0.0,55.710783,37.768624,10612,8611aa6a7ffffff,2,28,1.0,2,45.0,8,9,0,0,UVAO,block
8500000,2,0,58,81,647,0.0,55.707832,37.753838,10612,8611aa6a7ffffff,1,18,1.0,2,45.0,2,5,0,0,UVAO,panel
9750000,3,0,12,81,768,0.0,55.70330210000001,37.77492520000001,10612,8611aa6a7ffffff,7,15,1.0,1,40.1,12,24,0,0,UVAO,panel
7500000,2,0,58,81,1751,0.0,55.697559700000006,37.7874351,10612,8611aa6a7ffffff,1,28,1.0,2,36.0,1,9,1,0,UVAO,block
7900000,2,0,57,81,491,0.0,55.70984,37.761894,10612,8611aa6a7ffffff,1,28,1.0,2,44.6,1,5,1,0,UVAO,panel
9650000,3,0,54,81,923,0.0,55.7078837,37.7774085,10612,8611aa6a7ffffff,7,28,2.0,2,45.0,10,12,0,0,UVAO,block
7800000,3,0,58,81,783,0.0,55.7060089,37.7757693,10612,8611aa6a7ffffff,1,35,1.0,2,45.0,5,5,0,1,UVAO,panel
7150000,3,0,59,81,1047,0.0,55.6990816,37.7755263,10612,8611aa6a7ffffff,1,10,1.0,1,32.0,6,9,0,0,UVAO,panel
8150000,2,0,58,81,1852,0.0,55.698772,37.790337,10612,8611aa6a7ffffff,2,14,1.0,2,45.0,4,5,0,0,UVAO,panel
